Date,Month_Year,Variable,Value,Category
27/07/2022,2022_Jul,X30m,0,<0.1
27/07/2022,2022_Jul,X30m,0,<0.1
27/07/2022,2022_Jul,X30m,0,<0.1
27/07/2022,2022_Jul,X10m_1.5m,0,<0.1
27/07/2022,2022_Jul,X10m_1.5m,0,<0.1
27/07/2022,2022_Jul,X10m_1.5m,0.5,0.1-2
27/07/2022,2022_Jul,X10m_0m,0,<0.1
27/07/2022,2022_Jul,X10m_0m,0,<0.1
27/07/2022,2022_Jul,X10m_0m,0.5,0.1-2
27/07/2022,2022_Jul,X0m_1.5m,0,<0.1
27/07/2022,2022_Jul,X0m_1.5m,0,<0.1
27/07/2022,2022_Jul,X0m_1.5m,0.7,0.1-2
27/07/2022,2022_Jul,X0m_0m,1.8,0.1-2
27/07/2022,2022_Jul,X0m_0m,2,0.1-2
27/07/2022,2022_Jul,X0m_0m,2.8,2.1-5
27/07/2022,2022_Jul,X0m_0m,1.8,0.1-2
27/07/2022,2022_Jul,X0m_0m,2,0.1-2
27/07/2022,2022_Jul,X0m_0m,2.8,2.1-5
27/07/2022,2022_Jul,X0m_digging,5.2,5.1-10
27/07/2022,2022_Jul,X0m_digging,2,0.1-2
27/07/2022,2022_Jul,X0m_digging,11.5,10.1-50
27/07/2022,2022_Jul,X0m_digging,3.1,2.1-5
27/07/2022,2022_Jul,X0m_digging,1.5,0.1-2
27/07/2022,2022_Jul,X0m_digging,4.6,2.1-5
27/07/2022,2022_Jul,pile_height,15,NA
27/07/2022,2022_Jul,pile_height,20,NA
27/07/2022,2022_Jul,pile_height,20,NA
27/07/2022,2022_Jul,WS,5.7,NA
27/07/2022,2022_Jul,WS,9.1,NA
27/07/2022,2022_Jul,WS,4,NA
27/07/2022,2022_Jul,WD,100,NA
27/07/2022,2022_Jul,WD,102.6,NA
27/07/2022,2022_Jul,WD,114,NA
27/07/2022,2022_Jul,Temp,28.4,NA
27/07/2022,2022_Jul,Temp,27.3,NA
27/07/2022,2022_Jul,Temp,29.3,NA
28/07/2022,2022_Jul,X30m,0,<0.1
28/07/2022,2022_Jul,X30m,0,<0.1
28/07/2022,2022_Jul,X30m,0,<0.1
28/07/2022,2022_Jul,X10m_1.5m,0,<0.1
28/07/2022,2022_Jul,X10m_1.5m,0,<0.1
28/07/2022,2022_Jul,X10m_1.5m,0,<0.1
28/07/2022,2022_Jul,X10m_0m,0,<0.1
28/07/2022,2022_Jul,X10m_0m,0,<0.1
28/07/2022,2022_Jul,X10m_0m,0,<0.1
28/07/2022,2022_Jul,X0m_1.5m,0,<0.1
28/07/2022,2022_Jul,X0m_1.5m,0,<0.1
28/07/2022,2022_Jul,X0m_1.5m,0,<0.1
28/07/2022,2022_Jul,X0m_0m,0,<0.1
