Date,Time,Trans,Sample,H2S,TempBelow,ws,Height,Width,Condition,Humidity,TempEnv,wsSAMMO,wdSAMMO,Rain,Obs
11/08/2023,11:41:00,1,1,11.5,32.8,3,20,150,Decomposing,Wet,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,11:45:00,1,2,1.8,32.4,2,20,150,Decomposing,Wet,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,11:47:00,1,3,0.8,31.2,2.5,15,150,Decomposing,Wet,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,11:49:00,1,4,0.6,30.5,2.5,20,150,Decomposing,Wet,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,11:51:00,1,5,0,30,2.4,15,160,Decomposing,Wet,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,11:53:00,1,6,1.1,30.3,2.5,15,130,Decomposing,Wet,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,11:53:00,1,7,1,30.3,3,15,140,Decomposing,Wet,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,11:54:00,1,8,1.6,30.2,2.5,10,140,Decomposing,Wet,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,11:54:00,1,9,1.7,31,2.3,15,140,Decomposing,Wet,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,11:55:00,1,10,0.9,31.7,2,20,130,Decomposing,Humid,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,11:56:00,1,11,1.7,32.3,2.4,5,100,Decomposing,Humid,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,11:58:00,1,12,1.6,35.2,2,10,100,Decomposing,Humid,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,11:59:00,1,13,2.6,33.9,2.5,15,90,Decomposing,Humid,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,12:00:00,1,14,21.2,32.5,3,15,90,Decomposing,Humid,31.1,4.4,91.8,Yes,Rain day before
11/08/2023,12:01:00,1,15,3.8,33.4,2.8,10,89,Decomposing,Humid,31.1,4.4,91.8,Yes,Rain day before
22/08/2023,11:56:00,2,1,8.1,32.4,6.2,10,130,Decomposing,Wet,30.79,3.24,51,No,None
22/08/2023,00:00:00,2,2,2,32.3,6,15,180,Decomposing,Wet,30.79,3.24,51,No,None
22/08/2023,12:03:00,2,3,8.4,32.3,6,10,150,Decomposing,Humid,30.79,3.24,51,No,None
22/08/2023,12:05:00,2,4,2.3,33.5,6,15,130,Decomposing,Humid,30.79,3.24,51,No,None
22/08/2023,12:06:00,2,5,0,32.5,6,20,170,Decomposing,Humid,30.79,3.24,51,No,None
22/08/2023,12:09:00,2,6,1.8,32,6,25,200,Decomposing,Humid,30.79,3.24,51,No,None
22/08/2023,12:11:00,2,7,1.2,32.2,6,15,190,Decomposing,Humid,30.79,3.24,51,No,None
22/08/2023,12:12:00,2,8,0,31.3,6,15,220,Decomposing,Humid,30.79,3.24,51,No,None
22/08/2023,12:13:00,2,9,0,32,6,5,250,Decomposing,Humid,30.79,3.24,51,No,None
22/08/2023,12:14:00,2,10,0,32.3,6,5,250,Decomposing,Humid,30.79,3.24,51,No,None
22/08/2023,12:15:00,2,11,0,32.5,6,5,180,Decomposing,Humid,30.79,3.24,51,No,None
22/08/2023,12:17:00,2,12,0,32.3,6,5,150,Decomposing,Humid,30.79,3.24,51,No,None
22/08/2023,12:21:00,2,13,7.4,34,6,5,210,Decomposing,Humid,30.79,3.24,51,No,None
22/08/2023,12:22:00,2,14,9.4,33.5,6,5,240,Decomposing,Humid,30.79,3.24,51,No,None
22/08/2023,12:24:00,2,15,2.9,33.5,6,5,240,Decomposing,Wet,30.79,3.24,51,No,None
25/08/2023,12:54:00,3,1,0,31.8,0.1,20,300,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,12:56:00,3,2,0,30.5,0.2,20,300,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,12:57:00,3,3,0,30.6,1,20,300,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,12:59:00,3,4,0,30,0.3,20,300,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,13:03:00,3,5,0,30.5,0.6,15,300,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,13:05:00,3,6,0,30,0.4,15,250,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,13:06:00,3,7,0,30.3,0.4,15,250,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,13:07:00,3,8,0,31.3,0.3,15,250,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,13:09:00,3,9,0,30.7,0.7,20,200,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,13:11:00,3,10,0,31.5,0.3,20,200,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,13:12:00,3,11,0,31.5,0.2,25,200,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,13:13:00,3,12,0,30.8,0.1,10,200,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,13:14:00,3,13,0,30.3,0.4,20,150,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,13:15:00,3,14,0,30.3,0.2,15,150,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
25/08/2023,13:16:00,3,15,0,31,0.4,15,150,Decomposing,Humid,28.85,0,210,Yes,Rain for 3 days
13/09/2023,12:50:00,4,1,0,33,3.2,10,90,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,12:53:00,4,2,0,31.6,3.5,10,90,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,12:56:00,4,3,0,32,3.4,10,90,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,12:59:00,4,4,0,32,3.5,10,100,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,13:02:00,4,5,0,32,3.6,10,120,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,13:05:00,4,6,0,32.4,3.8,15,110,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,13:08:00,4,7,1.4,32.1,3.7,10,115,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,13:11:00,4,8,0,31.8,3.5,10,110,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,13:14:00,4,9,0,32.5,3.8,10,100,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,13:17:00,4,10,0,32.1,3.2,10,100,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,13:20:00,4,11,0.8,32,3.6,10,90,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,13:23:00,4,12,0.5,32.2,3.4,10,90,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,13:26:00,4,13,0,32,3.7,5,110,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,13:29:00,4,14,0,31.8,3.6,5,80,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
13/09/2023,13:32:00,4,15,0,32.2,3.4,5,80,Mixed,Humid,30.92,4.59,65.9,No,Mixed with seagrasses
14/09/2023,08:44:00,5,1,0,30.4,1.2,10,120,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:45:00,5,2,0,29.8,1.9,5,110,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:46:00,5,3,0,31.1,2.3,5,110,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:47:00,5,4,0,30.2,1.8,5,120,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:48:00,5,5,0,31.5,1.6,10,130,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:49:00,5,6,0,30.8,1.4,10,140,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:50:00,5,7,0,30.6,2.4,10,120,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:51:00,5,8,0,31.2,1.6,10,130,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:52:00,5,9,0,29.7,2.5,10,130,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:53:00,5,10,0,30.3,2,10,130,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:54:00,5,11,5.6,30.2,2.3,15,110,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:55:00,5,12,0.7,30.6,1.9,15,100,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:56:00,5,13,0,30.4,2.5,10,100,Mixed,Humid,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
14/09/2023,08:57:00,5,14,0,30.8,2.2,10,90,Mixed,Wet,30.4,2.1,31.4,No,"Mixed with seagrasses, most sargassum fresh"
