H2S,Temp_Below,WS,Height,Width,Air_temp,WD
11.5,32.8,3,20,150,31.1,91.8
1.8,32.4,2,20,150,31.1,91.8
0.8,31.2,2.5,15,150,31.1,91.8
0.6,30.5,2.5,20,150,31.1,91.8
0,30,2.4,15,160,31.1,91.8
1.1,30.3,2.5,15,130,31.1,91.8
1,30.3,3,15,140,31.1,91.8
1.6,30.2,2.5,10,140,31.1,91.8
1.7,31,2.3,15,140,31.1,91.8
0.9,31.7,2,20,130,31.1,91.8
1.7,32.3,2.4,5,100,31.1,91.8
1.6,35.2,2,10,100,31.1,91.8
2.6,33.9,2.5,15,90,31.1,91.8
21.2,32.5,3,15,90,31.1,91.8
3.8,33.4,2.8,10,89,31.1,91.8
8.1,32.4,6.2,10,130,30.79,51
2,32.3,6,15,180,30.79,51
8.4,32.3,6,10,150,30.79,51
2.3,33.5,6,15,130,30.79,51
0,32.5,6,20,170,30.79,51
1.8,32,6,25,200,30.79,51
1.2,32.2,6,15,190,30.79,51
0,31.3,6,15,220,30.79,51
0,32,6,5,250,30.79,51
0,32.3,6,5,250,30.79,51
0,32.5,6,5,180,30.79,51
0,32.3,6,5,150,30.79,51
7.4,34,6,5,210,30.79,51
9.4,33.5,6,5,240,30.79,51
2.9,33.5,6,5,240,30.79,51
0,31.8,0.1,20,300,28.85,210
0,30.5,0.2,20,300,28.85,210
0,30.6,1,20,300,28.85,210
0,30,0.3,20,300,28.85,210
0,30.5,0.6,15,300,28.85,210
0,30,0.4,15,250,28.85,210
0,30.3,0.4,15,250,28.85,210
0,31.3,0.3,15,250,28.85,210
0,30.7,0.7,20,200,28.85,210
0,31.5,0.3,20,200,28.85,210
0,31.5,0.2,25,200,28.85,210
0,30.8,0.1,10,200,28.85,210
0,30.3,0.4,20,150,28.85,210
0,30.3,0.2,15,150,28.85,210
0,31,0.4,15,150,28.85,210
0,33,3.2,10,90,30.92,65.9
0,31.6,3.5,10,90,30.92,65.9
0,32,3.4,10,90,30.92,65.9
0,32,3.5,10,100,30.92,65.9
0,32,3.6,10,120,30.92,65.9
0,32.4,3.8,15,110,30.92,65.9
1.4,32.1,3.7,10,115,30.92,65.9
0,31.8,3.5,10,110,30.92,65.9
0,32.5,3.8,10,100,30.92,65.9
0,32.1,3.2,10,100,30.92,65.9
0.8,32,3.6,10,90,30.92,65.9
0.5,32.2,3.4,10,90,30.92,65.9
0,32,3.7,5,110,30.92,65.9
0,31.8,3.6,5,80,30.92,65.9
0,32.2,3.4,5,80,30.92,65.9
0,30.4,1.2,10,120,30.4,31.4
0,29.8,1.9,5,110,30.4,31.4
0,31.1,2.3,5,110,30.4,31.4
0,30.2,1.8,5,120,30.4,31.4
0,31.5,1.6,10,130,30.4,31.4
0,30.8,1.4,10,140,30.4,31.4
0,30.6,2.4,10,120,30.4,31.4
0,31.2,1.6,10,130,30.4,31.4
0,29.7,2.5,10,130,30.4,31.4
0,30.3,2,10,130,30.4,31.4
5.6,30.2,2.3,15,110,30.4,31.4
0.7,30.6,1.9,15,100,30.4,31.4
0,30.4,2.5,10,100,30.4,31.4
0,30.8,2.2,10,90,30.4,31.4
1.1,30.9,2.4,5,80,30.4,31.4
0.6,30,2.6,10,190,30.4,31.4
0,29.7,2.5,10,180,30.4,31.4
0,29.7,2.6,15,160,30.4,31.4
2.6,29.8,2.8,15,160,30.4,31.4
0,30,3,20,140,30.4,31.4
1.2,30.1,2.4,15,130,30.4,31.4
0.6,29.9,2.4,15,130,30.4,31.4
0,30,2.8,10,110,30.4,31.4
0,30.1,2.5,15,100,30.4,31.4
3.3,29.8,2.4,15,100,30.4,31.4
4.9,29.7,2.1,15,100,30.4,31.4
13.1,29.8,2.5,15,100,30.4,31.4
7.7,29.7,2.6,15,90,30.4,31.4
8.2,30.4,2.5,15,90,30.4,31.4
2.2,29.4,2.3,15,90,30.4,31.4
17.2,29.8,2.3,15,80,30.4,31.4
8.8,29.6,2.4,10,80,30.4,31.4
9,29.6,2,20,80,30.4,31.4
0.8,29.5,2.6,15,80,30.4,31.4
0,30,2.6,10,80,30.4,31.4
0,29.9,2.2,15,90,30.4,31.4
0,29.9,2.7,5,75,30.4,31.4
0,30,2.4,5,100,30.4,31.4
0,30.9,2.5,15,90,30.4,31.4
0,31,2.5,15,90,30.4,31.4
0,30.8,2.3,15,80,30.4,31.4
0,31.2,2.3,15,80,30.4,31.4
0,30.8,1.9,10,90,30.4,31.4
0,30.7,2.4,15,75,30.4,31.4
0,31.1,2.2,5,70,30.4,31.4
11.4,31.2,2,20,200,30.4,31.4
11.7,30.1,2.8,20,170,30.4,31.4
47,30.1,2.2,15,200,30.4,31.4
1.6,30,2.7,20,220,30.4,31.4
4,30.4,2.2,20,190,30.4,31.4
1.4,30.6,1.6,20,200,30.4,31.4
3.9,30.4,2.1,20,220,30.4,31.4
3.7,30.4,1.6,15,200,30.4,31.4
3.1,30.5,1.6,20,210,30.4,31.4
2.1,30.7,1.8,20,170,30.4,31.4
0.7,30.3,1.5,25,210,30.4,31.4
7.2,30.4,1.4,25,180,30.4,31.4
14.5,30.5,2.5,15,190,30.4,31.4
1.8,30.4,2.3,20,150,30.4,31.4
1.1,30.5,1.8,20,170,30.4,31.4
3.2,33,3.62,30,200,30.39,116.3
6.2,35,3.62,30,200,30.39,116.3
13.5,33.5,3.62,30,200,30.39,116.3
29.6,34.5,3.62,30,200,30.39,116.3
34.1,34.1,3.62,30,190,30.39,116.3
56.9,34,3.62,30,150,30.39,116.3
73.8,36.4,3.62,30,130,30.39,116.3
3.1,34.3,3.62,30,120,30.39,116.3
0.9,34.2,3.62,30,100,30.39,116.3
6.4,34,3.62,30,100,30.39,116.3
0.6,33.7,3.62,30,100,30.39,116.3
2.3,33.5,2.99,20,230,30.89,66.1
16.8,34,2.99,20,220,30.89,66.1
0.6,34.2,2.99,20,180,30.89,66.1
94.2,35,2.99,20,180,30.89,66.1
